# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	28	18.04	KR314	JU406
CN	0	53	42.64	KR314	JU440
CN	0	76	31.79	KR314	JU561
CN	0	69	56.41	KR314	JU642
CN	0	111	38.92	KR314	JU751
CN	0	93	50.72	KR314	JU774
CN	0	87	51.67	KR314	JU775
CN	0	96	54.64	KR314	JU778
CN	0	82	61.11	KR314	JU782
CN	0	60	22.93	KR314	JU792
CN	0	107	37.73	KR314	JU830
CN	0	74	26.73	KR314	JU847
CN	7	81	54.91	LKC34	AB1
CN	7	105	60.08	LKC34	AB4
CN	0	21	63.76	LKC34	CB4851_CGC
CN	7	70	59.19	LKC34	CB4852
CN	7	109	58.38	LKC34	CB4853
CN	7	89	48.46	LKC34	CB4854
CN	7	110	40.73	LKC34	CB4855_UK
CN	0	101	60.94	LKC34	CB4856
CN	7	99	47.95	LKC34	CB4857
CN	0	9	40.33	LKC34	CB4858_UK
CN	0	46	73.35	LKC34	CB4932
CN	0	74	35.64	LKC34	CX11254
CN	0	84	30.57	LKC34	CX11262
CN	0	108	61.71	LKC34	CX11264
CN	0	97	45.72	LKC34	CX11271
CN	25	76	38.00	LKC34	CX11276
CN	7	130	61.74	LKC34	CX11285
CN	7	111	55.74	LKC34	CX11292
CN	0	79	49.18	LKC34	CX11307
CN	7	106	37.29	LKC34	CX11314
CN	0	65	38.97	LKC34	CX11315
CN	0	69	29.39	LKC34	DL200
CN	7	125	51.62	LKC34	DL226
CN	7	102	56.75	LKC34	DL238
CN	7	114	55.18	LKC34	ED3005
CN	7	81	34.05	LKC34	ED3011
CN	0	24	47.17	LKC34	ED3012
CN	0	74	65.81	LKC34	ED3017
CN	0	138	62.86	LKC34	ED3040
CN	7	122	60.04	LKC34	ED3046
CN	7	102	50.35	LKC34	ED3048
CN	7	124	58.90	LKC34	ED3049
CN	0	107	60.08	LKC34	ED3052
CN	0	96	63.80	LKC34	ED3073
CN	7	123	58.79	LKC34	ED3077
CN	0	40	41.17	LKC34	EG4347
CN	7	115	34.97	LKC34	EG4349
CN	7	121	57.58	LKC34	EG4724
CN	7	115	25.63	LKC34	EG4725
CN	7	83	60.59	LKC34	EG4946
CN	7	104	57.69	LKC34	GXW1
CN	0	45	34.27	LKC34	JT11398
CN	12	101	56.06	LKC34	JU1088
CN	7	98	29.71	LKC34	JU1172
CN	0	17	84.71	LKC34	JU1200
CN	0	26	26.27	LKC34	JU1212
CN	0	76	47.34	LKC34	JU1213
CN	0	72	40.83	LKC34	JU1242
CN	0	38	36.58	LKC34	JU1246
CN	7	42	17.95	LKC34	JU1395
CN	7	120	63.92	LKC34	JU1400
CN	7	114	60.52	LKC34	JU1409
CN	7	78	25.51	LKC34	JU1440
CN	0	108	68.81	LKC34	JU1491
CN	7	89	57.03	LKC34	JU1530
CN	0	20	48.15	LKC34	JU1568
CN	0	69	69.09	LKC34	JU1580
CN	7	78	60.38	LKC34	JU1581
CN	0	17	71.94	LKC34	JU1586
CN	0	77	42.19	LKC34	JU1652
CN	0	49	48.33	LKC34	JU1896
CN	0	136	36.35	LKC34	JU2001
CN	7	100	56.96	LKC34	JU2007
CN	7	88	24.70	LKC34	JU2464
CN	7	112	55.06	LKC34	JU258
CN	7	92	61.03	LKC34	JU310
CN	0	55	67.91	LKC34	JU311
CN	0	24	22.96	LKC34	JU312
CN	7	104	56.12	LKC34	JU323
CN	0	76	56.05	LKC34	JU346
CN	7	93	56.15	LKC34	JU360
CN	7	52	48.27	LKC34	JU367
CN	0	64	30.78	LKC34	JU393
CN	0	23	56.26	LKC34	JU394
CN	0	58	43.83	LKC34	JU397
CN	0	30	18.87	LKC34	JU406
CN	7	44	44.02	LKC34	JU440
CN	7	61	33.43	LKC34	JU561
CN	0	54	58.78	LKC34	JU642
CN	0	85	42.95	LKC34	JU751
CN	7	132	51.15	LKC34	JU774
CN	0	129	56.73	LKC34	JU775
CN	0	111	63.09	LKC34	JU778
CN	0	130	69.17	LKC34	JU782
CN	0	60	24.88	LKC34	JU792
CN	7	93	39.87	LKC34	JU830
CN	15	68	28.81	LKC34	JU847
CN	7	106	53.26	LKC34	KR314
CN	0	0	0.00	LSJ1	AB1
CN	0	0	0.00	LSJ1	AB4
CN	0	0	0.00	LSJ1	CB4851_CGC
CN	0	0	0.00	LSJ1	CB4852
CN	0	0	0.00	LSJ1	CB4853
CN	0	0	0.00	LSJ1	CB4854
CN	0	0	0.00	LSJ1	CB4855_UK
CN	0	0	0.00	LSJ1	CB4856
CN	0	0	0.00	LSJ1	CB4857
CN	0	0	0.00	LSJ1	CB4858_UK
CN	0	0	0.00	LSJ1	CB4932
CN	0	0	0.00	LSJ1	CX11254
CN	0	0	0.00	LSJ1	CX11262
CN	0	0	0.00	LSJ1	CX11264
CN	0	0	0.00	LSJ1	CX11271
CN	0	0	0.00	LSJ1	CX11276
CN	0	0	0.00	LSJ1	CX11285
CN	0	0	0.00	LSJ1	CX11292
CN	0	0	0.00	LSJ1	CX11307
CN	0	0	0.00	LSJ1	CX11314
CN	0	0	0.00	LSJ1	CX11315
CN	0	0	0.00	LSJ1	DL200
CN	0	0	0.00	LSJ1	DL226
CN	0	0	0.00	LSJ1	DL238
CN	0	0	0.00	LSJ1	ED3005
CN	0	0	0.00	LSJ1	ED3011
CN	0	0	0.00	LSJ1	ED3012
CN	0	0	0.00	LSJ1	ED3017
CN	0	0	0.00	LSJ1	ED3040
CN	0	0	0.00	LSJ1	ED3046
CN	0	0	0.00	LSJ1	ED3048
CN	0	0	0.00	LSJ1	ED3049
CN	0	0	0.00	LSJ1	ED3052
CN	0	0	0.00	LSJ1	ED3073
CN	0	0	0.00	LSJ1	ED3077
CN	0	0	0.00	LSJ1	EG4347
CN	0	0	0.00	LSJ1	EG4349
CN	0	0	0.00	LSJ1	EG4724
CN	0	0	0.00	LSJ1	EG4725
CN	0	0	0.00	LSJ1	EG4946
CN	0	0	0.00	LSJ1	GXW1
CN	0	0	0.00	LSJ1	JT11398
CN	0	0	0.00	LSJ1	JU1088
CN	0	0	0.00	LSJ1	JU1172
CN	0	0	0.00	LSJ1	JU1200
CN	0	0	0.00	LSJ1	JU1212
CN	0	0	0.00	LSJ1	JU1213
CN	0	0	0.00	LSJ1	JU1242
CN	0	0	0.00	LSJ1	JU1246
CN	0	0	0.00	LSJ1	JU1395
CN	0	0	0.00	LSJ1	JU1400
CN	0	0	0.00	LSJ1	JU1409
CN	0	0	0.00	LSJ1	JU1440
CN	0	0	0.00	LSJ1	JU1491
CN	0	0	0.00	LSJ1	JU1530
CN	0	0	0.00	LSJ1	JU1568
CN	0	0	0.00	LSJ1	JU1580
CN	0	0	0.00	LSJ1	JU1581
CN	0	0	0.00	LSJ1	JU1586
CN	0	0	0.00	LSJ1	JU1652
CN	0	0	0.00	LSJ1	JU1896
CN	0	0	0.00	LSJ1	JU2001
CN	0	0	0.00	LSJ1	JU2007
CN	0	0	0.00	LSJ1	JU2464
CN	0	0	0.00	LSJ1	JU258
CN	0	0	0.00	LSJ1	JU310
CN	0	0	0.00	LSJ1	JU311
CN	0	0	0.00	LSJ1	JU312
CN	0	0	0.00	LSJ1	JU323
CN	0	0	0.00	LSJ1	JU346
CN	0	0	0.00	LSJ1	JU360
CN	0	0	0.00	LSJ1	JU367
CN	0	0	0.00	LSJ1	JU393
CN	0	0	0.00	LSJ1	JU394
CN	0	0	0.00	LSJ1	JU397
CN	0	0	0.00	LSJ1	JU406
CN	0	0	0.00	LSJ1	JU440
CN	0	0	0.00	LSJ1	JU561
CN	0	0	0.00	LSJ1	JU642
CN	0	0	0.00	LSJ1	JU751
CN	0	0	0.00	LSJ1	JU774
CN	0	0	0.00	LSJ1	JU775
CN	0	0	0.00	LSJ1	JU778
CN	0	0	0.00	LSJ1	JU782
CN	0	0	0.00	LSJ1	JU792
CN	0	0	0.00	LSJ1	JU830
CN	0	0	0.00	LSJ1	JU847
CN	0	0	0.00	LSJ1	KR314
CN	0	0	0.00	LSJ1	LKC34
CN	0	87	47.37	MY10	AB1
CN	0	93	50.65	MY10	AB4
CN	0	20	47.25	MY10	CB4851_CGC
CN	0	76	50.41	MY10	CB4852
CN	0	99	49.84	MY10	CB4853
CN	0	76	46.91	MY10	CB4854
CN	0	96	41.08	MY10	CB4855_UK
CN	0	124	51.77	MY10	CB4856
CN	0	84	43.73	MY10	CB4857
CN	0	5	30.40	MY10	CB4858_UK
CN	0	44	57.07	MY10	CB4932
CN	0	68	36.00	MY10	CX11254
CN	0	85	29.76	MY10	CX11262
CN	0	96	49.43	MY10	CX11264
CN	0	96	43.45	MY10	CX11271
CN	25	76	36.18	MY10	CX11276
CN	0	116	50.59	MY10	CX11285
CN	0	94	48.05	MY10	CX11292
CN	0	92	45.47	MY10	CX11307
CN	0	96	37.60	MY10	CX11314
CN	0	67	39.01	MY10	CX11315
CN	0	80	27.93	MY10	DL200
CN	0	106	47.44	MY10	DL226
CN	0	119	46.74	MY10	DL238
CN	0	106	47.02	MY10	ED3005
CN	0	74	32.86	MY10	ED3011
CN	0	20	46.45	MY10	ED3012
CN	0	75	54.20	MY10	ED3017
CN	0	93	52.80	MY10	ED3040
CN	0	126	50.62	MY10	ED3046
CN	0	90	47.70	MY10	ED3048
CN	0	127	49.94	MY10	ED3049
CN	0	94	50.50	MY10	ED3052
CN	0	101	53.12	MY10	ED3073
CN	0	131	49.40	MY10	ED3077
CN	0	50	41.32	MY10	EG4347
CN	0	155	33.99	MY10	EG4349
CN	0	131	50.88	MY10	EG4724
CN	0	126	25.78	MY10	EG4725
CN	0	84	50.77	MY10	EG4946
CN	0	106	49.87	MY10	GXW1
CN	0	46	34.43	MY10	JT11398
CN	5	90	48.42	MY10	JU1088
CN	0	82	30.93	MY10	JU1172
CN	0	16	59.06	MY10	JU1200
CN	0	57	25.93	MY10	JU1212
CN	0	102	43.79	MY10	JU1213
CN	0	63	39.65	MY10	JU1242
CN	0	64	34.81	MY10	JU1246
CN	0	49	19.08	MY10	JU1395
CN	0	150	49.05	MY10	JU1400
CN	0	96	54.07	MY10	JU1409
CN	0	73	26.04	MY10	JU1440
CN	0	101	53.82	MY10	JU1491
CN	0	84	49.62	MY10	JU1530
CN	0	18	43.39	MY10	JU1568
CN	0	77	59.31	MY10	JU1580
CN	0	82	52.32	MY10	JU1581
CN	0	26	54.12	MY10	JU1586
CN	0	85	42.31	MY10	JU1652
CN	0	68	42.66	MY10	JU1896
CN	0	124	36.58	MY10	JU2001
CN	0	95	48.75	MY10	JU2007
CN	0	96	23.19	MY10	JU2464
CN	0	132	46.88	MY10	JU258
CN	0	98	50.76	MY10	JU310
CN	0	48	52.40	MY10	JU311
CN	0	26	21.54	MY10	JU312
CN	0	89	47.36	MY10	JU323
CN	0	82	46.73	MY10	JU346
CN	0	111	48.05	MY10	JU360
CN	0	44	42.20	MY10	JU367
CN	0	79	30.63	MY10	JU393
CN	0	25	45.84	MY10	JU394
CN	0	52	42.69	MY10	JU397
CN	0	23	19.87	MY10	JU406
CN	0	43	41.09	MY10	JU440
CN	0	64	32.84	MY10	JU561
CN	0	49	51.20	MY10	JU642
CN	0	119	40.63	MY10	JU751
CN	0	115	46.83	MY10	JU774
CN	0	140	48.44	MY10	JU775
CN	0	83	53.57	MY10	JU778
CN	0	124	54.25	MY10	JU782
CN	0	59	23.78	MY10	JU792
CN	0	99	37.47	MY10	JU830
CN	8	56	28.57	MY10	JU847
CN	0	92	47.77	MY10	KR314
CN	7	122	47.31	MY10	LKC34
CN	0	0	0.00	MY10	LSJ1
CN	0	51	65.10	MY16	AB1
CN	0	82	95.67	MY16	AB4
CN	0	32	76.22	MY16	CB4851_CGC
CN	0	44	91.68	MY16	CB4852
CN	0	75	93.88	MY16	CB4853
CN	0	51	47.69	MY16	CB4854
CN	0	90	42.12	MY16	CB4855_UK
CN	0	134	90.86	MY16	CB4856
CN	0	80	52.52	MY16	CB4857
CN	0	5	43.40	MY16	CB4858_UK
CN	0	56	82.66	MY16	CB4932
CN	0	85	35.08	MY16	CX11254
CN	0	97	30.42	MY16	CX11262
CN	0	128	88.33	MY16	CX11264
CN	0	68	44.74	MY16	CX11271
CN	25	60	36.40	MY16	CX11276
CN	0	101	89.39	MY16	CX11285
CN	0	66	61.61	MY16	CX11292
CN	0	79	49.28	MY16	CX11307
CN	0	111	38.52	MY16	CX11314
CN	0	99	39.88	MY16	CX11315
CN	0	50	30.20	MY16	DL200
CN	0	88	55.15	MY16	DL226
CN	0	132	74.90	MY16	DL238
CN	0	112	55.61	MY16	ED3005
CN	0	71	33.75	MY16	ED3011
CN	0	30	41.83	MY16	ED3012
CN	0	51	88.75	MY16	ED3017
CN	0	69	93.01	MY16	ED3040
CN	0	84	78.83	MY16	ED3046
CN	0	52	50.27	MY16	ED3048
CN	0	84	90.11	MY16	ED3049
CN	0	75	59.24	MY16	ED3052
CN	0	60	91.18	MY16	ED3073
CN	0	57	70.84	MY16	ED3077
CN	0	36	40.53	MY16	EG4347
CN	0	93	34.62	MY16	EG4349
CN	0	92	67.37	MY16	EG4724
CN	0	81	26.01	MY16	EG4725
CN	0	57	73.30	MY16	EG4946
CN	0	75	62.49	MY16	GXW1
CN	0	37	32.59	MY16	JT11398
CN	0	69	56.26	MY16	JU1088
CN	0	72	30.56	MY16	JU1172
CN	0	14	94.36	MY16	JU1200
CN	0	37	24.78	MY16	JU1212
CN	0	76	47.95	MY16	JU1213
CN	0	56	40.77	MY16	JU1242
CN	0	40	33.65	MY16	JU1246
CN	0	29	18.24	MY16	JU1395
CN	0	89	74.55	MY16	JU1400
CN	0	72	77.56	MY16	JU1409
CN	0	57	24.74	MY16	JU1440
CN	0	78	82.04	MY16	JU1491
CN	0	68	69.85	MY16	JU1530
CN	0	35	41.80	MY16	JU1568
CN	0	62	105.52	MY16	JU1580
CN	0	73	92.44	MY16	JU1581
CN	0	21	81.43	MY16	JU1586
CN	0	71	43.30	MY16	JU1652
CN	0	66	44.27	MY16	JU1896
CN	0	116	37.02	MY16	JU2001
CN	0	68	65.54	MY16	JU2007
CN	0	68	23.74	MY16	JU2464
CN	0	91	71.88	MY16	JU258
CN	0	72	89.38	MY16	JU310
CN	0	82	97.40	MY16	JU311
CN	0	32	22.56	MY16	JU312
CN	0	77	57.47	MY16	JU323
CN	0	54	61.91	MY16	JU346
CN	0	87	81.55	MY16	JU360
CN	0	38	49.92	MY16	JU367
CN	0	70	29.80	MY16	JU393
CN	0	32	51.25	MY16	JU394
CN	0	53	40.25	MY16	JU397
CN	0	28	19.68	MY16	JU406
CN	0	41	45.10	MY16	JU440
CN	0	61	31.95	MY16	JU561
CN	0	44	68.93	MY16	JU642
CN	0	101	41.05	MY16	JU751
CN	0	81	55.52	MY16	JU774
CN	0	110	63.03	MY16	JU775
CN	0	81	66.47	MY16	JU778
CN	0	99	88.20	MY16	JU782
CN	0	44	24.89	MY16	JU792
CN	0	69	40.20	MY16	JU830
CN	8	62	28.23	MY16	JU847
CN	0	72	54.18	MY16	KR314
CN	0	78	62.53	MY16	LKC34
CN	0	0	0.00	MY16	LSJ1
CN	0	96	50.18	MY16	MY10
CN	0	68	68.40	MY18	AB1
CN	0	123	86.74	MY18	AB4
CN	0	23	72.39	MY18	CB4851_CGC
CN	0	65	89.89	MY18	CB4852
CN	0	121	83.14	MY18	CB4853
CN	0	76	46.99	MY18	CB4854
CN	0	119	39.55	MY18	CB4855_UK
CN	0	121	85.58	MY18	CB4856
CN	0	122	46.74	MY18	CB4857
CN	0	2	49.00	MY18	CB4858_UK
CN	0	58	83.98	MY18	CB4932
CN	0	82	31.61	MY18	CX11254
CN	0	100	29.40	MY18	CX11262
CN	0	127	83.14	MY18	CX11264
CN	0	74	44.66	MY18	CX11271
CN	25	76	34.18	MY18	CX11276
CN	0	144	82.35	MY18	CX11285
CN	0	97	63.39	MY18	CX11292
CN	0	78	48.14	MY18	CX11307
CN	0	122	36.22	MY18	CX11314
CN	0	95	35.71	MY18	CX11315
CN	0	64	29.75	MY18	DL200
CN	0	128	52.45	MY18	DL226
CN	0	125	69.34	MY18	DL238
CN	0	206	53.88	MY18	ED3005
CN	0	107	34.04	MY18	ED3011
CN	0	33	40.21	MY18	ED3012
CN	0	66	90.97	MY18	ED3017
CN	0	90	87.94	MY18	ED3040
CN	0	117	79.15	MY18	ED3046
CN	0	84	49.50	MY18	ED3048
CN	0	120	86.55	MY18	ED3049
CN	0	86	60.20	MY18	ED3052
CN	0	92	87.84	MY18	ED3073
CN	0	90	71.86	MY18	ED3077
CN	0	44	40.66	MY18	EG4347
CN	0	114	34.36	MY18	EG4349
CN	0	100	64.77	MY18	EG4724
CN	0	96	24.27	MY18	EG4725
CN	0	99	69.70	MY18	EG4946
CN	0	103	62.80	MY18	GXW1
CN	0	47	32.28	MY18	JT11398
CN	5	91	58.38	MY18	JU1088
CN	0	106	28.95	MY18	JU1172
CN	0	15	97.60	MY18	JU1200
CN	0	38	26.08	MY18	JU1212
CN	0	74	45.45	MY18	JU1213
CN	0	53	39.23	MY18	JU1242
CN	0	51	33.63	MY18	JU1246
CN	0	44	18.05	MY18	JU1395
CN	0	104	71.50	MY18	JU1400
CN	0	94	76.76	MY18	JU1409
CN	0	64	24.20	MY18	JU1440
CN	0	83	81.10	MY18	JU1491
CN	0	96	70.60	MY18	JU1530
CN	0	29	40.34	MY18	JU1568
CN	0	61	102.00	MY18	JU1580
CN	0	101	95.75	MY18	JU1581
CN	0	24	85.42	MY18	JU1586
CN	0	72	41.04	MY18	JU1652
CN	0	78	44.55	MY18	JU1896
CN	0	111	37.05	MY18	JU2001
CN	0	88	66.76	MY18	JU2007
CN	0	94	23.22	MY18	JU2464
CN	0	110	65.69	MY18	JU258
CN	0	98	88.95	MY18	JU310
CN	0	85	92.51	MY18	JU311
CN	0	27	23.37	MY18	JU312
CN	0	103	56.65	MY18	JU323
CN	0	62	59.32	MY18	JU346
CN	0	128	76.41	MY18	JU360
CN	0	48	50.79	MY18	JU367
CN	0	60	30.05	MY18	JU393
CN	0	27	48.48	MY18	JU394
CN	0	55	39.85	MY18	JU397
CN	0	20	20.65	MY18	JU406
CN	0	52	42.29	MY18	JU440
CN	0	76	32.67	MY18	JU561
CN	0	57	66.40	MY18	JU642
CN	0	133	37.66	MY18	JU751
CN	0	98	52.12	MY18	JU774
CN	0	99	60.15	MY18	JU775
CN	0	76	67.93	MY18	JU778
CN	0	94	89.20	MY18	JU782
CN	0	47	24.89	MY18	JU792
CN	0	118	36.58	MY18	JU830
CN	0	78	28.04	MY18	JU847
CN	0	117	51.02	MY18	KR314
CN	7	93	60.45	MY18	LKC34
CN	0	0	0.00	MY18	LSJ1
CN	0	96	49.47	MY18	MY10
CN	0	128	83.59	MY18	MY16
CN	0	71	73.77	MY1	AB1
CN	0	122	123.21	MY1	AB4
CN	0	23	87.43	MY1	CB4851_CGC
CN	0	84	119.67	MY1	CB4852
CN	0	117	111.23	MY1	CB4853
CN	0	96	48.10	MY1	CB4854
CN	0	110	41.39	MY1	CB4855_UK
CN	0	108	118.82	MY1	CB4856
CN	0	111	48.60	MY1	CB4857
CN	0	1	24.00	MY1	CB4858_UK
CN	0	32	86.41	MY1	CB4932
CN	0	70	36.47	MY1	CX11254
CN	0	87	31.08	MY1	CX11262
CN	0	95	95.16	MY1	CX11264
CN	0	90	44.94	MY1	CX11271
CN	0	78	36.86	MY1	CX11276
CN	0	120	105.97	MY1	CX11285
CN	0	130	64.50	MY1	CX11292
CN	0	70	49.34	MY1	CX11307
CN	0	106	37.58	MY1	CX11314
CN	0	58	38.45	MY1	CX11315
CN	0	64	28.94	MY1	DL200
CN	0	107	57.30	MY1	DL226
CN	0	102	70.39	MY1	DL238
CN	0	115	59.74	MY1	ED3005
CN	0	82	32.98	MY1	ED3011
CN	0	39	44.44	MY1	ED3012
CN	0	69	93.48	MY1	ED3017
CN	0	114	107.89	MY1	ED3040
CN	0	130	85.82	MY1	ED3046
CN	0	123	51.13	MY1	ED3048
CN	0	134	104.42	MY1	ED3049
CN	0	108	60.85	MY1	ED3052
CN	0	132	96.15	MY1	ED3073
CN	0	155	72.65	MY1	ED3077
CN	0	50	41.38	MY1	EG4347
CN	0	125	35.56	MY1	EG4349
CN	0	122	68.80	MY1	EG4724
CN	0	97	25.26	MY1	EG4725
CN	0	92	74.58	MY1	EG4946
CN	0	117	65.08	MY1	GXW1
CN	0	39	34.23	MY1	JT11398
CN	5	121	58.10	MY1	JU1088
CN	0	106	30.20	MY1	JU1172
CN	0	24	113.62	MY1	JU1200
CN	0	22	26.23	MY1	JU1212
CN	0	57	47.68	MY1	JU1213
CN	0	56	37.16	MY1	JU1242
CN	0	43	35.81	MY1	JU1246
CN	0	48	18.69	MY1	JU1395
CN	0	109	74.28	MY1	JU1400
CN	0	103	79.73	MY1	JU1409
CN	0	64	26.00	MY1	JU1440
CN	0	86	83.58	MY1	JU1491
CN	0	99	71.45	MY1	JU1530
CN	0	18	40.17	MY1	JU1568
CN	0	60	123.28	MY1	JU1580
CN	0	87	112.34	MY1	JU1581
CN	0	16	99.19	MY1	JU1586
CN	0	88	43.99	MY1	JU1652
CN	0	68	46.50	MY1	JU1896
CN	0	104	36.44	MY1	JU2001
CN	0	100	68.55	MY1	JU2007
CN	0	112	23.51	MY1	JU2464
CN	0	112	77.28	MY1	JU258
CN	0	109	95.22	MY1	JU310
CN	0	44	108.61	MY1	JU311
CN	0	18	24.28	MY1	JU312
CN	0	124	55.86	MY1	JU323
CN	0	64	57.02	MY1	JU346
CN	0	104	89.30	MY1	JU360
CN	0	46	52.39	MY1	JU367
CN	0	42	29.38	MY1	JU393
CN	0	26	68.38	MY1	JU394
CN	0	42	42.29	MY1	JU397
CN	0	15	19.40	MY1	JU406
CN	0	53	42.87	MY1	JU440
CN	0	82	32.16	MY1	JU561
CN	0	48	64.50	MY1	JU642
CN	0	97	42.40	MY1	JU751
CN	0	123	55.02	MY1	JU774
CN	0	95	57.45	MY1	JU775
CN	0	87	68.13	MY1	JU778
CN	0	99	96.65	MY1	JU782
CN	0	44	23.34	MY1	JU792
CN	0	118	41.76	MY1	JU830
CN	0	70	28.97	MY1	JU847
CN	0	109	54.17	MY1	KR314
CN	7	125	60.70	MY1	LKC34
CN	0	0	0.00	MY1	LSJ1
CN	0	119	49.28	MY1	MY10
CN	0	74	94.43	MY1	MY16
CN	0	110	86.53	MY1	MY18
CN	0	71	63.08	MY23	AB1
CN	0	102	80.07	MY23	AB4
CN	0	43	71.74	MY23	CB4851_CGC
CN	0	54	86.20	MY23	CB4852
CN	0	102	81.66	MY23	CB4853
CN	0	58	47.24	MY23	CB4854
CN	0	102	39.95	MY23	CB4855_UK
CN	0	173	88.83	MY23	CB4856
CN	0	103	48.50	MY23	CB4857
CN	0	13	40.08	MY23	CB4858_UK
CN	0	64	72.56	MY23	CB4932
CN	0	111	34.23	MY23	CX11254
CN	0	129	29.18	MY23	CX11262
CN	0	156	79.87	MY23	CX11264
CN	0	87	41.69	MY23	CX11271
CN	25	76	34.28	MY23	CX11276
CN	0	140	79.22	MY23	CX11285
CN	0	84	55.17	MY23	CX11292
CN	0	103	47.69	MY23	CX11307
CN	0	127	36.75	MY23	CX11314
CN	0	112	36.65	MY23	CX11315
CN	0	75	28.04	MY23	DL200
CN	0	116	52.22	MY23	DL226
CN	0	185	72.80	MY23	DL238
CN	0	127	53.83	MY23	ED3005
CN	0	83	31.80	MY23	ED3011
CN	0	32	41.62	MY23	ED3012
CN	0	61	79.74	MY23	ED3017
CN	0	94	77.06	MY23	ED3040
CN	0	102	66.65	MY23	ED3046
CN	0	72	47.40	MY23	ED3048
CN	0	104	76.71	MY23	ED3049
CN	0	99	56.89	MY23	ED3052
CN	0	70	80.31	MY23	ED3073
CN	0	80	64.22	MY23	ED3077
CN	0	43	41.28	MY23	EG4347
CN	0	111	34.95	MY23	EG4349
CN	0	110	62.46	MY23	EG4724
CN	0	97	24.30	MY23	EG4725
CN	0	72	63.17	MY23	EG4946
CN	0	81	55.28	MY23	GXW1
CN	0	43	32.09	MY23	JT11398
CN	0	84	53.51	MY23	JU1088
CN	0	89	28.39	MY23	JU1172
CN	0	16	90.75	MY23	JU1200
CN	0	49	27.47	MY23	JU1212
CN	0	87	44.76	MY23	JU1213
CN	0	86	37.69	MY23	JU1242
CN	0	61	37.31	MY23	JU1246
CN	0	36	18.14	MY23	JU1395
CN	0	101	68.77	MY23	JU1400
CN	0	85	67.00	MY23	JU1409
CN	0	69	24.42	MY23	JU1440
CN	0	90	73.79	MY23	JU1491
CN	0	74	60.82	MY23	JU1530
CN	0	29	38.59	MY23	JU1568
CN	0	91	101.49	MY23	JU1580
CN	0	91	84.63	MY23	JU1581
CN	0	27	68.52	MY23	JU1586
CN	0	78	41.23	MY23	JU1652
CN	0	67	41.88	MY23	JU1896
CN	0	151	35.37	MY23	JU2001
CN	0	86	61.33	MY23	JU2007
CN	0	84	22.63	MY23	JU2464
CN	0	123	74.28	MY23	JU258
CN	0	78	74.79	MY23	JU310
CN	0	67	85.90	MY23	JU311
CN	0	30	21.77	MY23	JU312
CN	0	95	55.11	MY23	JU323
CN	0	74	59.73	MY23	JU346
CN	0	107	79.62	MY23	JU360
CN	0	34	47.24	MY23	JU367
CN	0	83	29.96	MY23	JU393
CN	0	44	52.27	MY23	JU394
CN	0	79	41.54	MY23	JU397
CN	0	40	18.15	MY23	JU406
CN	0	50	43.92	MY23	JU440
CN	0	65	31.75	MY23	JU561
CN	0	52	63.83	MY23	JU642
CN	0	114	40.18	MY23	JU751
CN	0	101	51.70	MY23	JU774
CN	0	134	59.72	MY23	JU775
CN	0	111	60.55	MY23	JU778
CN	0	130	78.59	MY23	JU782
CN	0	73	22.33	MY23	JU792
CN	0	83	37.39	MY23	JU830
CN	8	75	27.83	MY23	JU847
CN	0	98	50.58	MY23	KR314
CN	0	106	58.04	MY23	LKC34
CN	0	0	0.00	MY23	LSJ1
CN	0	105	47.18	MY23	MY10
CN	0	262	78.34	MY23	MY16
CN	0	111	70.86	MY23	MY18
CN	0	83	81.46	MY23	MY1
CN	0	0	0.00	N2	AB1
CN	0	0	0.00	N2	AB4
CN	0	0	0.00	N2	CB4851_CGC
CN	0	0	0.00	N2	CB4852
CN	0	0	0.00	N2	CB4853
CN	0	0	0.00	N2	CB4854
CN	0	0	0.00	N2	CB4855_UK
CN	0	0	0.00	N2	CB4856
CN	0	0	0.00	N2	CB4857
CN	0	0	0.00	N2	CB4858_UK
CN	0	0	0.00	N2	CB4932
CN	0	0	0.00	N2	CX11254
CN	0	0	0.00	N2	CX11262
CN	0	0	0.00	N2	CX11264
CN	0	0	0.00	N2	CX11271
CN	0	0	0.00	N2	CX11276
CN	0	0	0.00	N2	CX11285
CN	0	0	0.00	N2	CX11292
CN	0	0	0.00	N2	CX11307
CN	0	0	0.00	N2	CX11314
CN	0	0	0.00	N2	CX11315
CN	0	0	0.00	N2	DL200
CN	0	0	0.00	N2	DL226
CN	0	0	0.00	N2	DL238
CN	0	0	0.00	N2	ED3005
CN	0	0	0.00	N2	ED3011
CN	0	0	0.00	N2	ED3012
CN	0	0	0.00	N2	ED3017
CN	0	0	0.00	N2	ED3040
CN	0	0	0.00	N2	ED3046
CN	0	0	0.00	N2	ED3048
CN	0	0	0.00	N2	ED3049
CN	0	0	0.00	N2	ED3052
CN	0	0	0.00	N2	ED3073
CN	0	0	0.00	N2	ED3077
CN	0	0	0.00	N2	EG4347
CN	0	0	0.00	N2	EG4349
CN	0	0	0.00	N2	EG4724
CN	0	0	0.00	N2	EG4725
