# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	4	63.75	CX11292	CB4851_CGC
CN	0	75	65.08	CX11292	CB4852
CN	0	142	64.65	CX11292	CB4853
CN	0	92	49.34	CX11292	CB4854
CN	0	131	40.84	CX11292	CB4855_UK
CN	0	77	65.40	CX11292	CB4856
CN	0	134	46.78	CX11292	CB4857
CN	0	1	24.00	CX11292	CB4858_UK
CN	0	25	78.04	CX11292	CB4932
CN	0	63	36.49	CX11292	CX11254
CN	0	97	30.75	CX11292	CX11262
CN	0	109	66.61	CX11292	CX11264
CN	0	109	44.28	CX11292	CX11271
CN	0	72	37.54	CX11292	CX11276
CN	0	116	63.16	CX11292	CX11285
CN	0	46	49.80	CX11307	AB1
CN	0	82	47.41	CX11307	AB4
CN	0	10	49.70	CX11307	CB4851_CGC
CN	0	34	48.59	CX11307	CB4852
CN	0	88	48.35	CX11307	CB4853
CN	0	55	49.62	CX11307	CB4854
CN	0	80	40.17	CX11307	CB4855_UK
CN	0	96	49.12	CX11307	CB4856
CN	0	88	45.10	CX11307	CB4857
CN	0	6	42.17	CX11307	CB4858_UK
CN	0	37	56.22	CX11307	CB4932
CN	0	120	34.57	CX11307	CX11254
CN	0	100	28.76	CX11307	CX11262
CN	0	119	48.63	CX11307	CX11264
CN	0	86	41.84	CX11307	CX11271
CN	25	90	36.68	CX11307	CX11276
CN	0	101	49.60	CX11307	CX11285
CN	0	70	48.23	CX11307	CX11292
CN	0	69	37.74	CX11314	AB1
CN	0	154	39.31	CX11314	AB4
CN	0	5	45.80	CX11314	CB4851_CGC
CN	0	62	38.19	CX11314	CB4852
CN	0	138	39.43	CX11314	CB4853
CN	0	82	40.09	CX11314	CB4854
CN	0	141	35.55	CX11314	CB4855_UK
CN	0	107	37.98	CX11314	CB4856
CN	0	143	37.60	CX11314	CB4857
CN	0	2	49.00	CX11314	CB4858_UK
CN	0	30	48.47	CX11314	CB4932
CN	0	154	31.90	CX11314	CX11254
CN	0	188	28.69	CX11314	CX11262
CN	0	208	37.45	CX11314	CX11264
CN	0	98	38.48	CX11314	CX11271
CN	25	92	34.68	CX11314	CX11276
CN	0	121	37.31	CX11314	CX11285
CN	0	127	39.41	CX11314	CX11292
CN	0	112	37.58	CX11314	CX11307
CN	0	43	37.42	CX11315	AB1
CN	0	96	37.38	CX11315	AB4
CN	0	9	34.00	CX11315	CB4851_CGC
CN	0	37	39.76	CX11315	CB4852
CN	0	87	38.10	CX11315	CB4853
CN	0	48	41.02	CX11315	CB4854
CN	0	102	34.29	CX11315	CB4855_UK
CN	0	99	39.33	CX11315	CB4856
CN	0	96	37.14	CX11315	CB4857
CN	0	2	45.50	CX11315	CB4858_UK
CN	0	34	43.68	CX11315	CB4932
CN	0	104	30.78	CX11315	CX11254
CN	37	131	28.97	CX11315	CX11262
CN	0	168	37.27	CX11315	CX11264
CN	0	70	35.80	CX11315	CX11271
